No.,Color,Root,Knocks,Texture,Umbilicus,Touch,Density,SugerRatio,Label
1,1,1,1,1,1,1,0.697,0.46,1
2,2,1,2,1,1,1,0.774,0.376,1
3,2,1,1,1,1,1,0.634,0.264,1
4,1,1,2,1,1,1,0.608,0.318,1
5,3,1,1,1,1,1,0.556,0.215,1
6,1,2,1,1,2,2,0.403,0.237,1
7,2,2,1,2,2,2,0.481,0.149,1
8,2,2,1,2,2,1,0.437,0.211,1
9,2,2,2,1,2,1,0.666,0.091,0
10,1,3,3,2,3,2,0.243,0.267,0
11,3,3,3,3,3,1,0.245,0.057,0
12,3,1,1,3,3,2,0.343,0.099,0
13,1,2,1,2,1,1,0.639,0.161,0
14,3,2,2,2,1,1,0.657,0.198,0
15,2,2,1,1,2,2,0.36,0.37,0
16,3,1,1,3,3,1,0.593,0.042,0
17,1,1,2,2,2,1,0.719,0.103,0
